,id,longitude,latitude,accuracy,time
297,433,-4.2890248,55.8716119,22.165,13:21:31
298,434,-4.2889267,55.8713555,32.335,13:21:37
299,435,-4.2893273,55.8713716,19.999,13:21:49
300,436,-4.2892354,55.8712676,32.05,13:21:55
301,437,-4.2892214,55.8712293,23.6,13:22:07
302,438,-4.2892572,55.8712489,77.7,13:22:13
303,439,-4.2892164,55.8708663,6.877,13:22:24
304,440,-4.2892191,55.8708569,6.896,13:22:25
305,441,-4.2891871,55.8708173,10.529,13:22:28
306,442,-4.2890716,55.8708637,9.939,13:22:39
307,443,-4.2890085,55.8708663,8.279,13:22:43
308,444,-4.288854,55.8708865,9.976,13:22:54
309,445,-4.2886046,55.8709249,13.937,13:23:00
310,446,-4.2885716,55.8709214,18.232,13:23:09
311,447,-4.2883714,55.8708955,22.902,13:23:18
312,448,-4.2878932,55.8707284,9.286,13:23:29
313,449,-4.2878616,55.8707136,9.326,13:23:30
314,450,-4.2877783,55.8706964,12.949,13:23:33
315,451,-4.2877069,55.8707227,13.636,13:23:44
316,452,-4.2875062,55.8707497,45.528,13:23:48
317,453,-4.2869132,55.8705881,11.966,13:24:18
318,454,-4.2868567,55.8705741,11.22,13:24:21
319,455,-4.2868407,55.8705617,96.0,13:24:33
320,456,-4.2868629,55.8708384,7.698,13:24:37
321,457,-4.2868486,55.8708284,8.92,13:24:48
322,458,-4.2868602,55.8708482,7.57,13:24:52
323,459,-4.2865876,55.8704099,4.481,13:25:03
324,460,-4.2865678,55.8703839,4.49,13:25:05
325,461,-4.2865592,55.8703541,7.674,13:25:07
326,462,-4.2865629,55.870316,9.143,13:25:18
327,463,-4.2865718,55.8702501,9.611,13:25:21
328,464,-4.2866062,55.870234,27.412,13:25:30
329,465,-4.2866068,55.8702334,38.865,13:25:39
330,466,-4.2862183,55.8699973,8.708,13:25:51
331,467,-4.2861856,55.8699783,8.736,13:25:53
332,468,-4.2861325,55.8699665,9.869,13:25:54
333,469,-4.2861598,55.8699551,16.821,13:26:03
334,470,-4.2861598,55.8699551,37.079,13:26:12
335,471,-4.2861598,55.8699551,50.598,13:26:21
336,472,-4.2861598,55.8699551,64.074,13:26:30
337,473,-4.2861598,55.8699551,70.678,13:26:36
338,474,-4.2861598,55.8699551,86.572,13:26:45
339,475,-4.2851172,55.8705173,9.625,13:26:56
340,476,-4.2851002,55.8705295,9.743,13:27:00
341,477,-4.2849525,55.8705228,9.228,13:27:08
342,478,-4.2847497,55.8704866,12.42,13:27:15
343,479,-4.2845696,55.8704434,8.844,13:27:23
344,480,-4.2844673,55.8704063,16.802,13:27:32
345,481,-4.2841038,55.870355,4.611,13:27:41
346,482,-4.2840269,55.8703554,12.516,13:27:50
347,483,-4.283743,55.8703771,8.222,13:28:00
348,484,-4.2837186,55.8703767,8.244,13:28:02
349,485,-4.2835243,55.8704138,8.243,13:28:11
350,486,-4.2834521,55.8704887,10.238,13:28:22
351,487,-4.2834059,55.8705165,19.259,13:28:28
352,488,-4.2832253,55.8706589,34.328,13:28:36
353,489,-4.283071,55.8708216,84.705,13:28:46
354,490,-4.2828905,55.8709931,9.367,13:28:55
355,491,-4.2828235,55.8710246,7.645,13:29:05
356,492,-4.2827822,55.87107,13.147,13:29:15
357,493,-4.2826654,55.8719384,26.503,13:29:22
358,494,-4.2823973,55.8714764,10.311,13:29:33
359,495,-4.2823813,55.8714509,10.341,13:29:35
360,496,-4.2822913,55.8714578,37.718,13:29:36
361,497,-4.2822373,55.8714952,41.106,13:29:48
362,498,-4.2821672,55.8715336,43.757,13:29:52
363,499,-4.2825295,55.8719927,23.178,13:31:11
364,500,-4.2824606,55.8720009,17.843,13:31:14
365,501,-4.2825027,55.8719449,28.049,13:31:25
366,502,-4.281715,55.8716701,6.428,13:31:33
367,503,-4.2816607,55.8716465,6.462,13:31:34
368,504,-4.2814733,55.8716075,5.979,13:31:45
369,505,-4.281307,55.8715882,6.575,13:31:47
370,506,-4.2814908,55.8715038,6.385,13:31:58
371,507,-4.2816112,55.8714498,8.581,13:32:02
372,508,-4.2816672,55.8713986,10.355,13:32:13
373,509,-4.281652,55.8714076,10.026,13:32:13
374,510,-4.2816821,55.8713493,14.423,13:32:24
375,511,-4.2817995,55.8712945,34.671,13:32:33
376,512,-4.2817122,55.8710054,8.218,13:32:43
377,513,-4.2816989,55.8709892,8.237,13:32:45
378,514,-4.2817144,55.8709583,11.431,13:32:46
379,515,-4.2816301,55.8708525,12.067,13:32:58
380,516,-4.2815597,55.8707153,12.898,13:33:01
381,517,-4.281657,55.8706783,13.125,13:33:13
382,518,-4.2816969,55.8706637,12.13,13:33:14
383,519,-4.281767,55.870621,12.301,13:33:16
384,520,-4.2817227,55.870649,14.063,13:33:28
385,521,-4.2816105,55.8707022,12.585,13:33:32
386,522,-4.281502,55.8704688,10.966,13:33:42
387,523,-4.2813692,55.8703433,14.122,13:33:47
388,524,-4.2813354,55.8702714,13.627,13:33:58
389,525,-4.2813265,55.8702461,12.272,13:33:58
390,526,-4.281285,55.8702088,11.373,13:34:02
391,527,-4.2812216,55.8701616,11.236,13:34:12
392,528,-4.2811992,55.8700849,45.838,13:34:17
393,529,-4.2813799,55.8701194,10.246,13:34:28
394,530,-4.2814096,55.8701324,10.366,13:34:29
395,531,-4.281528,55.8701664,37.831,13:34:32
396,532,-4.2816375,55.870177,33.419,13:34:42
397,533,-4.2817452,55.8701683,49.218,13:34:46
398,534,-4.2819135,55.8703034,6.028,13:34:58
399,535,-4.2819252,55.8703158,6.056,13:34:58
400,536,-4.2819222,55.8703851,83.787,13:35:02
401,537,-4.281775,55.8703674,30.753,13:35:12
402,538,-4.2817656,55.8703674,83.996,13:35:12
403,539,-4.2807806,55.8698767,15.69,13:35:16
404,540,-4.2816881,55.8701247,6.425,13:35:28
405,541,-4.2817541,55.8701381,6.446,13:35:30
406,542,-4.2818499,55.8701073,33.473,13:35:32
407,543,-4.2819455,55.8700172,28.332,13:35:43
408,544,-4.2819515,55.8700116,20.191,13:35:45
409,545,-4.2819967,55.8699678,31.298,13:35:46
410,546,-4.2821047,55.8698587,35.546,13:35:57
411,547,-4.282165,55.8697772,44.667,13:36:02
412,548,-4.2821894,55.8696756,5.096,13:36:12
413,549,-4.2822452,55.8696036,44.522,13:36:17
414,550,-4.2824211,55.8694878,10.361,13:36:27
415,551,-4.282523,55.8693963,49.838,13:36:33
416,552,-4.2824759,55.8693061,7.616,13:36:42
417,553,-4.2824832,55.8692754,25.892,13:36:50
418,554,-4.2824691,55.8691173,8.803,13:36:57
419,555,-4.2825201,55.8690704,9.65,13:37:07
420,556,-4.2823969,55.8690455,8.123,13:37:19
421,557,-4.2823847,55.8690102,18.64,13:37:20
422,558,-4.2823714,55.8688995,24.197,13:37:32
423,559,-4.2823641,55.8687902,63.891,13:37:35
424,560,-4.2823794,55.8687083,48.136,13:37:47
425,561,-4.2824071,55.868677,28.636,13:37:57
426,562,-4.2824248,55.86834,10.72,13:38:09
427,563,-4.2824248,55.86834,29.391,13:38:13
428,564,-4.2824399,55.8683642,10.713,13:38:24
429,565,-4.28244,55.8683643,18.646,13:38:30
430,566,-4.2829139,55.868226,10.208,13:38:36
431,567,-4.2829346,55.8681308,6.473,13:38:48
432,568,-4.2829325,55.868112,6.097,13:38:51
433,569,-4.282903,55.8680671,10.953,13:39:00
434,570,-4.282781,55.867881,96.877,13:39:09
435,571,-4.2825573,55.867793,5.765,13:39:20
436,572,-4.2825459,55.8677885,5.787,13:39:21
437,573,-4.2824447,55.8677628,33.195,13:39:23
438,574,-4.2822719,55.8677176,37.313,13:39:34
439,575,-4.2820889,55.8676652,45.791,13:39:38
440,576,-4.2818985,55.8676147,8.93,13:39:50
441,577,-4.2818836,55.8676103,9.171,13:39:51
442,578,-4.2819323,55.8676409,10.874,13:39:53
443,579,-4.2819328,55.8676411,41.195,13:40:05
444,580,-4.2818689,55.8676058,10.958,13:40:08
445,581,-4.2817831,55.867576,54.713,13:40:16
446,582,-4.280707,55.8665761,43.924,13:40:23
447,583,-4.2809016,55.8673429,5.08,13:40:35
448,584,-4.280898,55.8673544,5.088,13:40:35
449,585,-4.2808188,55.8673488,32.5,13:40:38
450,586,-4.280677,55.8673041,41.054,13:40:50
451,587,-4.2806649,55.8672992,34.563,13:40:51
452,588,-4.2805382,55.8672735,35.938,13:40:53
453,589,-4.280325,55.8672428,44.275,13:41:05
454,590,-4.2802831,55.8671874,22.227,13:41:08
455,591,-4.280273,55.8671603,47.254,13:41:20
456,592,-4.2798633,55.8674433,38.008,13:41:23
457,593,-4.2798273,55.8671324,10.041,13:41:35
458,594,-4.2797686,55.86707,28.256,13:41:38
459,595,-4.2797195,55.8670553,14.463,13:42:00
460,596,-4.2795915,55.8670081,10.943,13:42:00
461,597,-4.2796061,55.8669139,18.517,13:42:10
462,598,-4.2796203,55.866759,9.348,13:42:15
463,599,-4.2795741,55.866758,14.952,13:42:27
464,600,-4.2796631,55.8667594,12.437,13:42:33
465,601,-4.2796668,55.8667591,13.34,13:42:45
466,602,-4.2796734,55.8667643,11.884,13:42:47
467,603,-4.2797495,55.866816,11.569,13:42:48
468,604,-4.2799519,55.866885,19.576,13:43:00
469,605,-4.279992,55.866879,39.727,13:43:06
470,606,-4.2808726,55.8666254,16.775,13:43:18
471,607,-4.2811334,55.8666592,19.403,13:43:24
472,608,-4.2812122,55.8669006,8.176,13:43:35
473,609,-4.2812611,55.8669543,12.562,13:43:39
474,610,-4.2812107,55.8670858,12.788,13:43:51
475,611,-4.281209,55.8672456,12.795,13:43:54
476,612,-4.2814692,55.8673274,12.004,13:44:06
477,613,-4.2815295,55.8673478,10.498,13:44:07
478,614,-4.2816304,55.8673826,9.126,13:44:09
479,615,-4.2817667,55.8674756,9.163,13:44:20
480,616,-4.2818839,55.8675353,9.257,13:44:24
481,617,-4.2819979,55.8675312,11.812,13:44:36
482,618,-4.2823529,55.8675376,15.579,13:44:39
483,619,-4.2823335,55.8675336,22.326,13:44:51
484,620,-4.2822727,55.8675179,42.479,13:44:57
485,621,-4.2822727,55.8675179,58.722,13:45:09
486,622,-4.2822727,55.8675179,69.479,13:45:15
487,623,-4.283138,55.8678804,10.228,13:45:27
488,624,-4.2832323,55.8679124,13.368,13:45:30
489,625,-4.2832845,55.8679594,14.322,13:45:42
490,626,-4.2834292,55.8680513,11.231,13:45:45
491,627,-4.2834562,55.8680609,98.4,13:45:54
492,628,-4.2831203,55.8668672,87.6,13:46:04
493,629,-4.2839746,55.8680442,3.912,13:46:08
494,630,-4.2839043,55.8681079,85.575,13:46:18
495,631,-4.2836671,55.8677232,31.917,13:46:27
496,632,-4.2837349,55.8679813,7.379,13:46:38
497,633,-4.2838372,55.8680057,7.345,13:46:50
498,634,-4.2839413,55.8680417,17.866,13:46:52
499,635,-4.2840566,55.8681389,23.086,13:47:03
500,636,-4.2841781,55.8681969,34.391,13:47:07
501,637,-4.2841259,55.8681877,39.961,13:47:18
502,638,-4.2840961,55.8682172,26.303,13:47:28
503,639,-4.2849407,55.8682949,5.491,13:47:38
504,640,-4.284941,55.8683144,5.512,13:47:40
505,641,-4.2851149,55.8684175,5.478,13:47:50
506,642,-4.2853692,55.868565,6.275,13:48:02
507,643,-4.2854721,55.8686522,75.888,13:48:07
508,644,-4.2853739,55.8689328,7.484,13:48:18
509,645,-4.2853618,55.8689581,7.512,13:48:20
510,646,-4.285345,55.8689935,13.322,13:48:22
511,647,-4.2853777,55.8688232,6.773,13:48:31
512,648,-4.2853834,55.8687771,97.86,13:48:40
